codigo,descricao,tipo,unidade,preco_custo,preco_venda,estoque_minimo,aliq_icms,aliq_ipi,aliq_pis,aliq_cofins,ncm
FECH-001,"FECHO GALV 3/4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
FITA-001,FITA GALV 1mt,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
FITA-002,FITA GALV 5mt,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
FITA-003,FITA GALV 10mt,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
FITA-004,FITA GALV 15mt,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
FITA-005,FITA GALV 20mt,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
FITA-006,FITA GALV 25mt,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
FITA-007,FITA GALV 30mt,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
FITA-008,FITA INOX,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
FITA-009,FITA INOX 1mt,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
FITA-010,FITA INOX 5mt,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
FITA-011,FITA INOX 10mt,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
FITA-012,FITA INOX 15mt,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
FITA-013,FITA INOX 20mt,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
FITA-014,FITA INOX 25mt,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
FITA-015,FITA INOX 30mt,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
GANCH-001,GANCHO CURTO LUMIN,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
GANCH-002,GANCHO CURTO PERFIL,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
GANCH-003,GANCHO LONGO LUMIN,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
GANCH-004,GANCHO LONGO PERFIL,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
GRAM-001,GRAMPO C,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
JUN-001,"ABRAC COPO JUNCAO INF. 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
JUN-002,"ABRAC COPO JUNCAO INF. 3/4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
JUN-003,"ABRAC COPO JUNCAO INF. 1""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
JUN-004,"ABRAC COPO JUNCAO INF. 1 1/4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
JUN-005,"ABRAC COPO JUNCAO INF. 1 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
JUN-006,"ABRAC COPO JUNCAO INF. 2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
JUN-007,"ABRAC COPO JUNCAO INF. 2 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
JUN-008,"ABRAC COPO JUNCAO INF. 3""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
JUN-009,"ABRAC COPO JUNCAO INF. 3 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
JUN-010,"ABRAC COPO JUNCAO INF. 4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
JUN-011,"ABRAC COPO JUNCAO INF. 5""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
JUN-012,"ABRAC COPO JUNCAO INF. 6""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
JUN-013,"ABRAC COPO JUNCAO SUP. 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
JUN-014,"ABRAC COPO JUNCAO SUP. 3/4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
JUN-015,"ABRAC COPO JUNCAO SUP. 1""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
JUN-016,"ABRAC COPO JUNCAO SUP. 1 1/4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
